;;
Station;Blurb;Sightseeing Note
Pontoon Dock;Walk through Thames Barrier Park and admire the modern landscaping.;Walk through Thames Barrier Park and admire the modern landscaping.
Poplar;Relax in Poplar Recreation Ground and shop at Chrisp Street Market.;Relax in Poplar Recreation Ground and shop at Chrisp Street Market.
Prince Regent;Access ExCeL London for exhibitions and explore Royal Victoria Dock.;Access ExCeL London for exhibitions and explore Royal Victoria Dock.
Pudding Mill Lane;Visit Queen Elizabeth Olympic Park and ascend the ArcelorMittal Orbit.;Visit Queen Elizabeth Olympic Park and ascend the ArcelorMittal Orbit.
Putney Bridge;Visit the historic Fulham Palace and stroll through Bishops Park along the Thames.;Visit the historic Fulham Palace and stroll through Bishops Park along the Thames.
Queen's Park;Enjoy Queens Park’s bandstand and café or browse the farmers’ market on Sundays.;Enjoy Queens Park’s bandstand and café or browse the farmers’ market on Sundays.
Queensbury;Relax in Queensbury Park and visit Little Stanmore church to see Handel’s organ.;Relax in Queensbury Park and visit Little Stanmore church to see Handel’s organ.
Queensway;Go ice skating at Queens Ice and Bowl or explore the redeveloped Whiteleys building.;Go ice skating at Queens Ice and Bowl or explore the redeveloped Whiteleys building.
Ravenscourt Park;Stroll through Ravenscourt Park and its walled garden and glasshouses.;Stroll through Ravenscourt Park and its walled garden and glasshouses.
Rayners Lane;Admire the station’s Art Deco architecture and walk in Roxbourne Park.;Admire the station’s Art Deco architecture and walk in Roxbourne Park.
Redbridge;Cycle at Redbridge Cycling Centre or walk through Wanstead Park and the ornamental lakes.;Cycle at Redbridge Cycling Centre or walk through Wanstead Park and the ornamental lakes.
Regent's Park;Explore Regent’s Park’s formal gardens and visit ZSL London Zoo.;Explore Regent’s Park’s formal gardens and visit ZSL London Zoo.
Richmond;Walk through Richmond Park to see the deer or along the riverside to Richmond Green.;Walk through Richmond Park to see the deer or along the riverside to Richmond Green.
Rickmansworth;Visit the wetlands of Rickmansworth Aquadrome and cruise along the Grand Union Canal.;Visit the wetlands of Rickmansworth Aquadrome and cruise along the Grand Union Canal.
Roding Valley;Discover Roding Valley Meadows nature reserve, a haven for wildlife.;Discover Roding Valley Meadows nature reserve, a haven for wildlife.
Royal Albert;Watch rowing at the London Regatta Centre or stroll along Royal Albert Dock.;Watch rowing at the London Regatta Centre or stroll along Royal Albert Dock.
Royal Victoria;Ride the Emirates Air Line cable car and explore Royal Victoria Dock.;Ride the Emirates Air Line cable car and explore Royal Victoria Dock.
Ruislip;Swim at Ruislip Lido and take a ride on the miniature railway through the woods.;Swim at Ruislip Lido and take a ride on the miniature railway through the woods.
Ruislip Gardens;Walk the Yeading Brook Nature Reserve and visit the nearby Polish War Memorial.;Walk the Yeading Brook Nature Reserve and visit the nearby Polish War Memorial.
Ruislip Manor;Explore Manor Farm heritage site and browse Ruislip Manor Library.;Explore Manor Farm heritage site and browse Ruislip Manor Library.
Russell Square;Visit the British Museum and relax in the leafy Russell Square gardens.;Visit the British Museum and relax in the leafy Russell Square gardens.
Seven Sisters;See Tottenham Hotspur Stadium nearby or visit Markfield Park’s beam engine museum.;See Tottenham Hotspur Stadium nearby or visit Markfield Park’s beam engine museum.
Shadwell;Explore Wilton’s Music Hall and stroll around Shadwell Basin’s docks.;Explore Wilton’s Music Hall and stroll around Shadwell Basin’s docks.
Shepherd's Bush;Shop at Westfield London and watch a gig at the O2 Shepherd’s Bush Empire.;Shop at Westfield London and watch a gig at the O2 Shepherd’s Bush Empire.
Sloane Square;Browse the Saatchi Gallery and shop along the fashionable King’s Road.;Browse the Saatchi Gallery and shop along the fashionable King’s Road.
Snaresbrook;Walk around Eagle Pond and the ornamental lake in Epping Forest near Snaresbrook.;Walk around Eagle Pond and the ornamental lake in Epping Forest near Snaresbrook.
South Ealing;Enjoy Lammas Park and watch cricket at Ealing Cricket Club.;Enjoy Lammas Park and watch cricket at Ealing Cricket Club.
South Harrow;Browse stalls at South Harrow Market and relax in Roxeth Recreation Ground.;Browse stalls at South Harrow Market and relax in Roxeth Recreation Ground.
South Kensington;Visit the Natural History, Science and Victoria & Albert museums in the Exhibition Road area.;Visit the Natural History, Science and Victoria & Albert museums in the Exhibition Road area.
South Kenton;Play sports at Northwick Park and enjoy a drink at The Windermere pub.;Play sports at Northwick Park and enjoy a drink at The Windermere pub.
South Quay;Stroll along South Dock Marina and dine at the waterfront restaurants.;Stroll along South Dock Marina and dine at the waterfront restaurants.
South Ruislip;Visit the Polish War Memorial and watch planes at RAF Northolt.;Visit the Polish War Memorial and watch planes at RAF Northolt.
South Wimbledon;Shop and eat at Merton Abbey Mills and follow the Wandle Trail.;Shop and eat at Merton Abbey Mills and follow the Wandle Trail.
South Woodford;Walk in Epping Forest and shop along George Lane.;Walk in Epping Forest and shop along George Lane.
Southfields;Visit the All England Lawn Tennis Club and its Wimbledon Lawn Tennis Museum.;Visit the All England Lawn Tennis Club and its Wimbledon Lawn Tennis Museum.
Southgate;Relax in Grovelands Park and watch a show at the Chickenshed Theatre.;Relax in Grovelands Park and watch a show at the Chickenshed Theatre.
Southwark;Visit the Tate Modern and Shakespeare’s Globe on the South Bank.;Visit the Tate Modern and Shakespeare’s Globe on the South Bank.
St John's Wood;Watch a match at Lord’s Cricket Ground and snap a photo at the Abbey Road crossing made famous by The Beatles.;Watch a match at Lord’s Cricket Ground and snap a photo at the Abbey Road crossing made famous by The Beatles.
St Paul's;Marvel at St Paul’s Cathedral and wander around Paternoster Square.;Marvel at St Paul’s Cathedral and wander around Paternoster Square.
St. James's Park;Walk through St James’s Park to Buckingham Palace and watch the Changing of the Guard.;Walk through St James’s Park to Buckingham Palace and watch the Changing of the Guard.
Stamford Brook;Relax in Ravenscourt Park or explore Chiswick High Road’s shops and cafes.;Relax in Ravenscourt Park or explore Chiswick High Road’s shops and cafes.
Stanmore;Visit Bentley Priory Museum and stroll through Stanmore Country Park.;Visit Bentley Priory Museum and stroll through Stanmore Country Park.
Star Lane;Enjoy community green space at Star Lane Park and admire the area’s street art.;Enjoy community green space at Star Lane Park and admire the area’s street art.
Stepney Green;Watch independent films at Genesis Cinema and meet animals at Stepney City Farm.;Watch independent films at Genesis Cinema and meet animals at Stepney City Farm.
Stockwell;Head to the Oval cricket ground nearby or skate at Stockwell Skatepark.;Head to the Oval cricket ground nearby or skate at Stockwell Skatepark.
Stonebridge Park;Walk along the Grand Union Canal by the Brent Reservoir (Welsh Harp) and stop at the Ace Cafe.;Walk along the Grand Union Canal by the Brent Reservoir (Welsh Harp) and stop at the Ace Cafe.
Stratford;Explore Queen Elizabeth Olympic Park and shop at Westfield Stratford City.;Explore Queen Elizabeth Olympic Park and shop at Westfield Stratford City.
Stratford High Street;Visit the ArcelorMittal Orbit and explore the aquatic centre at the Olympic Park.;Visit the ArcelorMittal Orbit and explore the aquatic centre at the Olympic Park.
Stratford International;Access the International station and enjoy East Village’s cafés and the Lee Valley VeloPark.;Access the International station and enjoy East Village’s cafés and the Lee Valley VeloPark.
Sudbury Hill;Admire the Art Deco design of the station and relax in Barham Park.;Admire the Art Deco design of the station and relax in Barham Park.
Sudbury Town;Walk through Barham Park and visit Wembley Stadium nearby.;Walk through Barham Park and visit Wembley Stadium nearby.
Swiss Cottage;See a play at the Hampstead Theatre and swim at Swiss Cottage Leisure Centre.;See a play at the Hampstead Theatre and swim at Swiss Cottage Leisure Centre.
Temple;Discover the historic Temple Church and stroll through Victoria Embankment Gardens.;Discover the historic Temple Church and stroll through Victoria Embankment Gardens.
Theydon Bois;Walk through Epping Forest and enjoy village pubs like the Queen Victoria.;Walk through Epping Forest and enjoy village pubs like the Queen Victoria.
Tooting Bec;Take a dip in Tooting Bec Lido and enjoy the green space of Tooting Common.;Take a dip in Tooting Bec Lido and enjoy the green space of Tooting Common.
Tooting Broadway;Sample street food at Tooting Market and admire the art deco Gala Bingo hall.;Sample street food at Tooting Market and admire the art deco Gala Bingo hall.
Tottenham Court Road;Watch a musical at the Dominion Theatre and browse electronics shops along Tottenham Court Road.;Watch a musical at the Dominion Theatre and browse electronics shops along Tottenham Court Road.
Tottenham Hale;Spot birds at Walthamstow Wetlands and shop at Tottenham Hale Retail Park.;Spot birds at Walthamstow Wetlands and shop at Tottenham Hale Retail Park.
Totteridge and Whetstone;Explore Totteridge Fields nature reserve and shop along Whetstone High Road.;Explore Totteridge Fields nature reserve and shop along Whetstone High Road.
Tower Gateway;Walk to the Tower of London and cross iconic Tower Bridge.;Walk to the Tower of London and cross iconic Tower Bridge.
Tower Hill;See the Crown Jewels at the Tower of London and join a Yeoman Warder tour.;See the Crown Jewels at the Tower of London and join a Yeoman Warder tour.
Tufnell Park;Drink at Tufnell Park Tavern and walk up to Hampstead Heath via Parliament Hill Fields.;Drink at Tufnell Park Tavern and walk up to Hampstead Heath via Parliament Hill Fields.
Turnham Green;Visit Chiswick High Road’s boutiques and Hogarth’s House near the green.;Visit Chiswick High Road’s boutiques and Hogarth’s House near the green.
Turnpike Lane;Stroll through Downhills Park and shop at Wood Green Shopping City.;Stroll through Downhills Park and shop at Wood Green Shopping City.
Upminster;Tour the Upminster Windmill and the Tithe Barn Agricultural Museum.;Tour the Upminster Windmill and the Tithe Barn Agricultural Museum.
Upminster Bridge;Visit the restored Upminster Windmill and play at Upminster Golf Club.;Visit the restored Upminster Windmill and play at Upminster Golf Club.
Upney;Explore Eastbrookend Country Park and visit Barking Abbey remains nearby.;Explore Eastbrookend Country Park and visit Barking Abbey remains nearby.
Upton Park;Browse Queen’s Market on Green Street and remember the former Boleyn Ground.;Browse Queen’s Market on Green Street and remember the former Boleyn Ground.
Uxbridge;Visit the Battle of Britain Bunker and walk along the Grand Union Canal.;Visit the Battle of Britain Bunker and walk along the Grand Union Canal.
Vauxhall;Stroll through Vauxhall Pleasure Gardens and admire the MI6 headquarters across the river.;Stroll through Vauxhall Pleasure Gardens and admire the MI6 headquarters across the river.
Victoria;Tour Buckingham Palace and watch the Changing of the Guard on The Mall.;Tour Buckingham Palace and watch the Changing of the Guard on The Mall.
Walthamstow Central;Wander through Walthamstow Village, admire neon art at God’s Own Junkyard and visit the William Morris Gallery.;Wander through Walthamstow Village, admire neon art at God’s Own Junkyard and visit the William Morris Gallery.
Wanstead;Walk through Wanstead Park and explore Christchurch Green in the village centre.;Walk through Wanstead Park and explore Christchurch Green in the village centre.
Warren Street;Look up at the BT Tower and visit University College Hospital’s museum exhibits.;Look up at the BT Tower and visit University College Hospital’s museum exhibits.
Warwick Avenue;Take a canal boat from Little Venice or watch a puppet show on the Puppet Theatre Barge.;Take a canal boat from Little Venice or watch a puppet show on the Puppet Theatre Barge.
Waterloo;Ride the London Eye, stroll along the South Bank and see a play at the National Theatre.;Ride the London Eye, stroll along the South Bank and see a play at the National Theatre.
Watford;Explore Cassiobury Park, visit Watford Museum and travel to the Warner Bros. Studio Tour nearby.;Explore Cassiobury Park, visit Watford Museum and travel to the Warner Bros. Studio Tour nearby.
Wembley Central;Attend events at Wembley Arena or watch a match at Wembley Stadium and shop at London Designer Outlet.;Attend events at Wembley Arena or watch a match at Wembley Stadium and shop at London Designer Outlet.
Wembley Park;Walk to Wembley Stadium and explore the colourful Wembley Park development with its art trail.;Walk to Wembley Stadium and explore the colourful Wembley Park development with its art trail.
West Acton;Relax in North Acton Playing Fields and explore the Gunnersbury Triangle Nature Reserve.;Relax in North Acton Playing Fields and explore the Gunnersbury Triangle Nature Reserve.
West Brompton;Walk through Brompton Cemetery and catch a match at Stamford Bridge stadium.;Walk through Brompton Cemetery and catch a match at Stamford Bridge stadium.
West Finchley;Play in Victoria Park and shop along Ballards Lane in North Finchley.;Play in Victoria Park and shop along Ballards Lane in North Finchley.
West Ham;Cheer on West Ham United at the London Stadium and explore Queen Elizabeth Olympic Park.;Cheer on West Ham United at the London Stadium and explore Queen Elizabeth Olympic Park.
West Hampstead;Dine and drink along West End Lane and visit Hampstead Theatre and nearby parks.;Dine and drink along West End Lane and visit Hampstead Theatre and nearby parks.
West Harrow;Stroll around Harrow Recreation Ground and visit St Peter’s Church.;Stroll around Harrow Recreation Ground and visit St Peter’s Church.
West India Quay;Explore the Museum of London Docklands and dine at restaurants in old warehouses.;Explore the Museum of London Docklands and dine at restaurants in old warehouses.
West Kensington;Watch matches at the Queen’s Club and explore the Olympia London Exhibition Centre.;Watch matches at the Queen’s Club and explore the Olympia London Exhibition Centre.
West Ruislip;Ride the miniature railway at Ruislip Lido and watch planes at RAF Northolt.;Ride the miniature railway at Ruislip Lido and watch planes at RAF Northolt.
West Silvertown;Explore Thames Barrier Park and spot the Tate & Lyle Sugar Refinery across the water.;Explore Thames Barrier Park and spot the Tate & Lyle Sugar Refinery across the water.
Westferry;Visit the Museum of London Docklands and relax in West India Quay’s restaurants.;Visit the Museum of London Docklands and relax in West India Quay’s restaurants.
Westminster;Marvel at the Houses of Parliament and Big Ben and visit Westminster Abbey.;Marvel at the Houses of Parliament and Big Ben and visit Westminster Abbey.
White City;Shop at Westfield London and see the redeveloped BBC Television Centre.;Shop at Westfield London and see the redeveloped BBC Television Centre.
Whitechapel;See exhibitions at Whitechapel Gallery and eat along Brick Lane’s curry mile.;See exhibitions at Whitechapel Gallery and eat along Brick Lane’s curry mile.
Willesden Green;Explore Willesden Green Library and relax in Gladstone Park.;Explore Willesden Green Library and relax in Gladstone Park.
Willesden Junction;Walk the Grand Union Canal and explore the industrial heritage of Old Oak Common.;Walk the Grand Union Canal and explore the industrial heritage of Old Oak Common.
Wimbledon;Visit the Wimbledon Lawn Tennis Museum at the All England Club and stroll through Wimbledon Village.;Visit the Wimbledon Lawn Tennis Museum at the All England Club and stroll through Wimbledon Village.
Wimbledon Park;Row on the lake at Wimbledon Park and watch tennis at the Wimbledon Club.;Row on the lake at Wimbledon Park and watch tennis at the Wimbledon Club.
Wood Green;Take in the views from Alexandra Palace and shop at Wood Green’s Shopping City.;Take in the views from Alexandra Palace and shop at Wood Green’s Shopping City.
Woodford;Explore Epping Forest and play golf at Woodford Golf Club.;Explore Epping Forest and play golf at Woodford Golf Club.
Woodside Park;Walk the Dollis Valley Greenwalk and shop along North Finchley High Road.;Walk the Dollis Valley Greenwalk and shop along North Finchley High Road.
Woolwich Arsenal;Explore the Royal Arsenal Riverside and take the Woolwich Ferry across the Thames.;Explore the Royal Arsenal Riverside and take the Woolwich Ferry across the Thames.
